title,type,release_year,rating,listed_in,favorite
Amit Tandon: Family Tandoncies,Movie,2019,,Stand-Up Comedy,False
Ala Vaikunthapurramuloo,Movie,2020,,"Action & Adventure, Comedies, Dramas",False
The Body,Movie,2019,,"International Movies, Thrillers",False
Yeh Ballet,Movie,2020,,"Dramas, International Movies",False
Panipat - The Great Betrayal,Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Taj Mahal 1989,TV Show,2020,,"International TV Shows, Romantic TV Shows, TV Comedies",False
Thottappan,Movie,2019,,"Comedies, Dramas, International Movies",False
Jada,Movie,2019,,"Dramas, International Movies, Sports Movies",False
Thambi,Movie,2019,,"International Movies, Thrillers",False
Shimla Mirchi,Movie,2020,,"Comedies, International Movies, Romantic Movies",False
Sillu Karuppatti,Movie,2019,,"Comedies, Dramas, Independent Movies",False
Vir Das: For India,Movie,2020,,Stand-Up Comedy,False
KD (A) Karuppudurai,Movie,2019,,"Comedies, Dramas, Independent Movies",False
Motichoor Chaknachoor,Movie,2019,,"Comedies, Dramas, International Movies",False
Bulbul Can Sing,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Made in China,Movie,2019,,"Comedies, Dramas, International Movies",False
Jamtara - Sabka Number Ayega,TV Show,2020,,"Crime TV Shows, International TV Shows, TV Dramas",False
Ghost Stories,Movie,2020,,"Horror Movies, International Movies, Thrillers",False
Aaviri,Movie,2019,,"Horror Movies, International Movies, Thrillers",False
Albert Pinto Ko Gussa Kyun Aata Hai?,Movie,2019,,"Dramas, Independent Movies, International Movies",False
The Sky Is Pink,Movie,2019,,"Dramas, International Movies",False
Saaho,Movie,2019,,"Action & Adventure, International Movies",False
Baby Dolls,Movie,2019,,"Comedies, International Movies, Romantic Movies",False
High End Yaariyan,Movie,2019,,"Comedies, International Movies, Romantic Movies",False
Qismat,Movie,2018,,"Dramas, International Movies, Romantic Movies",False
The Zoya Factor,Movie,2019,,"Comedies, Dramas, International Movies",False
Evvarikee Cheppoddu,Movie,2019,,"Comedies, International Movies, Romantic Movies",False
Pranaam,Movie,2019,,"Action & Adventure, Dramas, International Movies",False
Dorasaani,Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Mallesham,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Guna 369,Movie,2019,,"Action & Adventure, Dramas, International Movies",False
House Arrest,Movie,2019,,"Comedies, Independent Movies, International Movies",False
SunGanges,Movie,2018,,"Documentaries, International Movies",False
Little Things,TV Show,2019,,"International TV Shows, Romantic TV Shows, TV Comedies",False
Oththa Seruppu Size 7,Movie,2019,,"Dramas, International Movies, Thrillers",False
Drive,Movie,2019,,"Action & Adventure, International Movies",False
Mehandi Circus,Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Mighty Little Bheem: Diwali,TV Show,2019,,"Kids' TV, TV Comedies",False
Upstarts,Movie,2019,,"Comedies, Dramas, International Movies",False
Noblemen,Movie,2019,,"Dramas, Independent Movies, International Movies",False
College Romance,TV Show,2018,,"International TV Shows, Romantic TV Shows, TV Comedies",False
Engineering Girls,TV Show,2018,,"International TV Shows, TV Comedies",False
Girls Hostel,TV Show,2018,,"International TV Shows, TV Comedies, TV Dramas",False
Bard of Blood,TV Show,2019,,"International TV Shows, TV Action & Adventure, TV Dramas",False
Malaal,Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Manmadhudu 2,Movie,2019,,"Comedies, Dramas, International Movies",False
Kabir Singh,Movie,2019,,"Dramas, International Movies, Romantic Movies",False
Oh! Baby,Movie,2019,,"Comedies, International Movies, Music & Musicals",False
Article 15,Movie,2019,,"Dramas, International Movies, Thrillers",False
Care of Kancharapalem,Movie,2018,,"Comedies, Dramas, Independent Movies",False
Ee Nagaraniki Emaindi,Movie,2018,,"Comedies, Independent Movies, International Movies",False
Watchman,Movie,2019,,"Comedies, Dramas, International Movies",False
Kaake Da Viyah,Movie,2019,,"Comedies, Dramas, International Movies",False
Marriage Palace,Movie,2018,,"Comedies, International Movies",False
Saavat,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Game Over (Tamil Version),Movie,2019,,"Horror Movies, International Movies, Thrillers",False
Sacred Games,TV Show,2019,,"Crime TV Shows, International TV Shows, TV Dramas",True
Uyare,Movie,2019,,"Dramas, International Movies",False
90 ML,Movie,2019,,"Comedies, International Movies, Music & Musicals",False
Jaoon Kahan Bata Ae Dil,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Badla,Movie,2019,,"International Movies, Thrillers",False
Uriyadi 2,Movie,2019,,"Dramas, International Movies",False
Manu,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Typewriter,TV Show,2019,,"International TV Shows, TV Horror, TV Mysteries",False
Mauli,Movie,2018,,"Action & Adventure, Dramas, International Movies",False
Bogda,Movie,2018,,"Dramas, International Movies",False
Romeo Akbar Walter,Movie,2019,,"Dramas, International Movies, Thrillers",False
Super Deluxe,Movie,2019,,"Comedies, Dramas, International Movies",False
Unbroken,Movie,2019,,"Documentaries, International Movies",False
Rakkhosh,Movie,2019,,"Horror Movies, Independent Movies, International Movies",False
Luckee,Movie,2019,,"Comedies, International Movies, Romantic Movies",False
Pihu,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Leila,TV Show,2019,,"British TV Shows, International TV Shows, TV Dramas",False
Luka Chuppi,Movie,2019,,"Comedies, International Movies, Romantic Movies",False
Stree,Movie,2018,,"Comedies, Horror Movies, Independent Movies",False
Krutant,Movie,2019,,"Dramas, International Movies",False
Chopsticks,Movie,2019,,"Comedies, Dramas, Independent Movies",False
Mere Pyare Prime Minister,Movie,2019,,"Dramas, International Movies",False
The Man Who Feels No Pain,Movie,2018,,"Action & Adventure, Comedies, International Movies",False
Jonaki,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Hamid,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Laatu,Movie,2018,,"Comedies, Dramas, International Movies",False
Sur Sapata,Movie,2019,,"Comedies, Dramas, International Movies",False
Teen Aur Aadha,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Njan Prakashan,Movie,2018,,"Comedies, Dramas, International Movies",False
Music Teacher,Movie,2019,,"Dramas, Independent Movies, International Movies",False
Rainbow Jelly,Movie,2018,,"Dramas, International Movies, Sci-Fi & Fantasy",False
Sarvam Thaala Mayam (Telugu Version),Movie,2018,,"Dramas, International Movies, Music & Musicals",False
Petta,Movie,2019,,"Action & Adventure, Comedies, Dramas",False
Ek Ladki Ko Dekha Toh Aisa Laga,Movie,2019,,"Comedies, Dramas, International Movies",False
15 August,Movie,2019,,"Comedies, Dramas, Independent Movies",False
Sei,Movie,2018,,"Action & Adventure, Comedies, Dramas",False
Delhi Crime,TV Show,2019,,"Crime TV Shows, International TV Shows, TV Dramas",False
Imago,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Bombairiya,Movie,2018,,"Comedies, Dramas, International Movies",False
Cricket Fever: Mumbai Indians,TV Show,2019,,"Docuseries, International TV Shows",False
Evening Shadows,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Life of An Outcast,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Firebrand,Movie,2019,,"Dramas, International Movies",False
Shonar Pahar,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Genius,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Awe,Movie,2018,,"Dramas, International Movies, Sci-Fi & Fantasy",False
Neevevaro,Movie,2018,,"Dramas, International Movies, Romantic Movies",False
Nathicharami,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Soni,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Adhugo,Movie,2018,,"Comedies, Independent Movies, International Movies",False
Echcharikkai,Movie,2018,,"International Movies, Thrillers",False
Baazaar,Movie,2018,,"Dramas, International Movies",False
Next Enti?,Movie,2018,,"Comedies, Dramas, International Movies",False
Merku Thodarchi Malai,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Selection Day,TV Show,2018,,"International TV Shows, TV Dramas, Teen TV Shows",False
Ascharyachakit!,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Lilli,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Andhadhun,Movie,2018,,"Comedies, Dramas, International Movies",False
Vanjagar Ulagam,Movie,2018,,"Dramas, International Movies, Thrillers",False
Manto,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Rajma Chawal,Movie,2018,,"Comedies, Dramas, International Movies",False
Aalorukkam,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Halkaa,Movie,2018,,"Comedies, Dramas, Independent Movies",False
Odu Raja Odu,Movie,2018,,"Comedies, Independent Movies, International Movies",False
Savita Damodar Paranjpe,Movie,2018,,"Horror Movies, International Movies",False
Bucket List,Movie,2018,,"Dramas, International Movies",False
Asees,Movie,2018,,"Dramas, International Movies, Music & Musicals",False
W/O Ram,Movie,2018,,"Dramas, International Movies, Thrillers",False
Mr. Chandramouli,Movie,2018,,"Dramas, International Movies, Thrillers",False
Sanju,Movie,2018,,"Dramas, International Movies",False
Soorma,Movie,2018,,"Dramas, International Movies, Sports Movies",False
Khido Khundi,Movie,2018,,"Dramas, International Movies, Sports Movies",False
Garbage,Movie,2018,,"Dramas, Independent Movies, International Movies",False
​​Kuch Bheege Alfaaz,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Once Again,Movie,2018,,"Dramas, Independent Movies, International Movies",False
GHOUL,TV Show,2018,,"International TV Shows, TV Dramas, TV Horror",False
Pad Man,Movie,2018,,"Dramas, International Movies, Romantic Movies",False
Bhavesh Joshi Superhero,Movie,2018,,"Dramas, International Movies, Sci-Fi & Fantasy",False
Brij Mohan Amar Rahe,Movie,2018,,"Comedies, Dramas, International Movies",False
Parmanu: The Story of Pokhran,Movie,2018,,"Dramas, International Movies",False
My Birthday Song,Movie,2018,,"Dramas, International Movies, Thrillers",False
Zoo,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Lust Stories,Movie,2018,,"Comedies, Dramas, International Movies",False
Aiyaary,Movie,2018,,"Action & Adventure, Dramas, International Movies",False
Ladies First,Movie,2018,,"Documentaries, International Movies, Sports Movies",False
Love Per Square Foot,Movie,2018,,"Comedies, International Movies, Romantic Movies",False
706,Movie,2019,,"Horror Movies, International Movies",False
15-Aug,Movie,2019,,"Comedies, Dramas, Independent Movies",False
​Goli Soda 2,Movie,2018,,"Action & Adventure, Dramas, International Movies",False
21 Sarfarosh: Saragarhi 1897,TV Show,2018,,"International TV Shows, TV Dramas",False
7 (Seven),TV Show,2019,,TV Shows,False
Anjaan: Rural Myths,TV Show,2018,,"International TV Shows, TV Horror, TV Thrillers",False
Anjaan: Special Crimes Unit,TV Show,2018,,"International TV Shows, TV Horror, TV Mysteries",False
Beyond the Clouds,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Chhota Bheem Kungfu Dhamaka,Movie,2019,,Children & Family Movies,False
Eeda,Movie,2018,,"Dramas, International Movies, Romantic Movies",False
Ethirmarai,Movie,2018,,"International Movies, Music & Musicals, Thrillers",False
Gabru: Hip Hop Revolution,TV Show,2018,,"International TV Shows, TV Dramas",False
Gemini,Movie,2018,,Dramas,False
Hope Aur Hum,Movie,2018,,"Children & Family Movies, Comedies, Dramas",False
Khan: No. 1 Crime Hunter,TV Show,2018,,"Crime TV Shows, International TV Shows, TV Comedies",False
Kia and Cosmos,Movie,2018,,"Dramas, Independent Movies, International Movies",False
Lupt,Movie,2018,,"Horror Movies, International Movies, Thrillers",False
Midnight Misadventures With Mallika Dua,TV Show,2018,,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",False
Norm of the North: Keys to the Kingdom,Movie,2019,,Children & Family Movies,False
Norm of the North: King Sized Adventure,Movie,2019,,"Children & Family Movies, Comedies",False
Sudani from Nigeria,Movie,2018,,"Comedies, Dramas, International Movies",False
Super Bheem,TV Show,2019,,Kids' TV,False
Super Bheem Bana Vajraveer,Movie,2018,,Children & Family Movies,False
Thackeray,TV Show,2019,,TV Shows,False
The Calling,TV Show,2018,,"International TV Shows, Reality TV",False
The Dark Side of Life: Mumbai City,Movie,2018,,"Dramas, International Movies",False
Veerey Ki Wedding,Movie,2018,,"Comedies, Dramas, International Movies",False
Vodka Diaries,Movie,2018,,"Dramas, International Movies, Thrillers",False
Waterschool,Movie,2018,,Documentaries,False
Yeh Meri Family,TV Show,2018,,"International TV Shows, TV Comedies",False
Gully Boy,Movie,2019,8.0,Drama,False
Pathaan,Movie,2023,7.0,Action,False
Article 370,Movie,2024,8.2,Thriller,False
Laal Singh Chaddha,Movie,2022,5.5,Drama,False
War,Movie,2019,6.8,Action,False
Brahmastra,Movie,2022,5.6,Fantasy,False
KGF Chapter 2,Movie,2022,8.3,Action,False
RRR,Movie,2022,8.5,Action,False
Jawan,Movie,2023,7.2,Action,False
3 Idiots,Movie,2009,8.4,Comedy,True
Movie_2010_58,Movie,2010,7.6,Action,False
Movie_2010_280,Movie,2010,4.7,Drama,False
Movie_2010_259,Movie,2010,6.0,Action,False
Movie_2010_143,Movie,2010,4.4,Action,False
Movie_2010_173,Movie,2010,5.4,Drama,False
Movie_2010_136,Movie,2010,8.6,Action,False
Movie_2010_41,Movie,2010,7.4,Thriller,False
Movie_2010_24,Movie,2010,8.3,Romance,False
Movie_2010_195,Movie,2010,4.7,Thriller,False
Movie_2010_137,Movie,2010,4.4,Drama,False
Movie_2010_195,Movie,2010,8.1,Thriller,False
Movie_2010_29,Movie,2010,3.9,Romance,False
Movie_2010_291,Movie,2010,7.0,Fantasy,False
Movie_2010_74,Movie,2010,6.7,Thriller,False
Movie_2010_299,Movie,2010,4.0,Biopic,False
Movie_2011_25,Movie,2011,5.6,Drama,False
Movie_2011_240,Movie,2011,6.5,Thriller,False
Movie_2011_137,Movie,2011,3.5,Fantasy,False
Movie_2011_135,Movie,2011,6.3,Comedy,False
Movie_2011_102,Movie,2011,8.6,Comedy,False
Movie_2011_1,Movie,2011,8.3,Fantasy,False
Movie_2011_158,Movie,2011,6.2,Romance,False
Movie_2011_36,Movie,2011,8.3,Comedy,False
Movie_2011_217,Movie,2011,5.7,Romance,False
Movie_2011_192,Movie,2011,4.7,Musical,False
Movie_2011_174,Movie,2011,3.5,Action,False
Movie_2011_31,Movie,2011,4.8,Romance,False
Movie_2011_249,Movie,2011,6.1,Romance,False
Movie_2011_209,Movie,2011,5.8,Romance,False
Movie_2011_28,Movie,2011,4.1,Drama,False
Movie_2012_99,Movie,2012,5.0,Romance,False
Movie_2012_128,Movie,2012,9.0,Drama,False
Movie_2012_8,Movie,2012,6.1,Drama,False
Movie_2012_206,Movie,2012,5.0,Action,False
Movie_2012_233,Movie,2012,5.1,Thriller,False
Movie_2012_30,Movie,2012,6.1,Action,False
Movie_2012_272,Movie,2012,3.9,Comedy,False
Movie_2012_35,Movie,2012,3.7,Romance,False
Movie_2012_42,Movie,2012,4.9,Biopic,False
Movie_2012_161,Movie,2012,5.1,Romance,False
